# Fable TLC RTTI class dump (Steam Fable.exe, image base 0x400000)
# Source: fabletlcmod.com forum th=9198 (EternalNoob, 2012), goto=66825
# 2090 classes. Columns: VFT<TAB>flags<TAB>class<TAB>bases<TAB>rtti_kind
# rtti_kind: SI single / MI multiple / VI virtual inheritance (MSVC RTTI).
VFT	flags	class	bases	rtti_kind
01279A8C	0019	CCombatSequence_TrollRockShuffleBack	CCombatSequenceBase	SI
012799EC	0019	CCombatSequence_TrollRockThrowRock	CCombatSequenceBase	SI
01279BCC	0019	CCombatSequence_VillagerAdvance	CCombatSequenceBase	SI
01279ADC	0019	CCombatSequence_VillagerAttack	CCombatSequenceBase	SI
01279B2C	0019	CCombatSequence_VillagerBackOff	CCombatSequenceBase	SI
01279C1C	0019	CCombatSequence_VillagerCombo	CCombatSequenceBase	SI
01279C6C	0019	CCombatSequence_VillagerComboUnblockable	CCombatSequenceBase	SI
01279CBC	0019	CCombatSequence_VillagerNearAttack	CCombatSequenceBase	SI
01279B7C	0019	CCombatSequence_VillagerStepIn	CCombatSequenceBase	SI
0127A25C	0020	CCombatSequence_WillEnflame	CCombatSequenceBase	SI
0127A2B4	0020	CCombatSequence_WillForcePush	CCombatSequenceBase	SI
0127A30C	0020	CCombatSequence_WillForcePushLongRange	CCombatSequenceBase	SI
0127A20C	0019	CCombatSequence_WillLightning	CCombatSequenceBase	SI
0127A364	0019	CCombatSequence_WillPhysicalShield	CCombatSequenceBase	SI
0127A3B4	0019	CCombatSequence_WillPhysicalShieldNonMelee	CCombatSequenceBase	SI
01278FEC	0019	CCombatSequenceBase		SI
01234BBC	0025	CCombatSequenceDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
01261D74	0020	CCombatSequenceGeneric	CCombatSequenceBase	SI
0127A07C	0019	CCombatSequenceJacksCombo	CCombatSequenceBase	SI
0127A16C	0019	CCombatSequenceNonInterruptable2StrikeCombo	CCombatSequenceBase	SI
0127A11C	0019	CCombatSequenceUnblockableFacing	CCombatSequenceBase	SI
01279D5C	0019	CCombatSequenceWhisperAdvance	CCombatSequenceBase	SI
01279E4C	0019	CCombatSequenceWhisperAttack360	CCombatSequenceBase	SI
01279DFC	0019	CCombatSequenceWhisperAttackBigCombo	CCombatSequenceBase	SI
01279DAC	0019	CCombatSequenceWhisperAttackCombo	CCombatSequenceBase	SI
01279F3C	0019	CCombatSequenceWhisperBoast	CCombatSequenceBase	SI
0127A02C	0019	CCombatSequenceWhisperIdles	CCombatSequenceBase	SI
01279D0C	0019	CCombatSequenceWhisperLunge	CCombatSequenceBase	SI
01279F8C	0019	CCombatSequenceWhisperSortYourselfOut	CCombatSequenceBase	SI
01279FDC	0019	CCombatSequenceWhisperStrafeAround	CCombatSequenceBase	SI
01279E9C	0019	CCombatSequenceWhisperStrikeStrafeBack	CCombatSequenceBase	SI
01279EEC	0019	CCombatSequenceWhisperTooCloseLeapBack	CCombatSequenceBase	SI
01233744	0025	CCombatTypeDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
012A116C	0011	CCompositeSurfaceCache	CManagedTextureOwner, CResource, CIVCountedPointeeBase	SI
012A8154	0001	CCompositeSurfaceInfo	CBaseClass	SI
0129A758	0011	CCompressedMemoryDataInputStream	CDataInputStream, CDataStream, CBaseClassNonCopyable, CBaseClass	SI
01245974	0008	CCompressorZlib	CACompressor, CBaseClass	SI
0123125C	0025	CConfigOptionsDefaultsDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0129C600	0001	CConsole	CTBaseSingleton<CConsole>	SI
0122E65C	0006	CConsoleClasslessCommand	CConsoleCommandBase, CConsoleInputBase	SI
0129C4E0	0006	CConsoleCommand<CConsole>	CConsoleCommandBase, CConsoleInputBase	SI
0125D668	0006	CConsoleCommand<CGameTimeManager>	CConsoleCommandBase, CConsoleInputBase	SI
0122E638	0006	CConsoleCommandBase	CConsoleInputBase	SI
0129C400	0001	CConsoleCommandLine	CBaseClass	SI
0122E5B0	0005	CConsoleInputBase		SI
0122E5C8	0005	CConsoleVariable	CConsoleInputBase	SI
012428B4	0025	CContainerRewardHeroDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0129DC94	0004	CContainmentVolume	CMovableResource	SI
0123227C	0025	CContextSensitiveItemDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
01230E84	0025	CControlsDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
01232214	0025	CCoopSpiritDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0123C86C	0025	CCrateStackDef	CSubDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
0129CF84	0001	CCRCSymbolMap	CBaseClassNonCopyable, CBaseClass	SI
01234F24	0025	CCreatureAbilityDef	CParentDefClassBase, CDefClassBase, CDefPointeeBase, CResource, CIVCountedPointeeBase	SI
012752C4	0070	CCreatureAction_ActivateQuest	CCreatureActionBase, CBaseObject, CBaseClass	SI
012738EC	0070	CCreatureAction_ActivateZTarget	CCreatureActionBase, CBaseObject, CBaseClass	SI
012901B4	0070	CCreatureAction_AddFoodToTable	CCreatureAction_PutDownThingAtTable, CCreatureActionBase, CBaseObject, CBaseClass	SI
01270D5C	0070	CCreatureAction_AddRealObjectToInventory	CCreatureActionBase, CBaseObject, CBaseClass	SI
0126556C	0070	CCreatureAction_AimMissileWeapon	CCreatureActionBase, CBaseObject, CBaseClass	SI
012736A4	0070	CCreatureAction_AlertAllNearbyToThing	CCreatureActionBase, CBaseObject, CBaseClass	SI
0127357C	0070	CCreatureAction_AlertToPlayer	CCreatureActionBase, CBaseObject, CBaseClass	SI
0127FF14	0081	CCreatureAction_Ambush	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01283BA4	0081	CCreatureAction_BalverineBreakOffFromCombat	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01283CEC	0081	CCreatureAction_BalverineBreakOffFromCombatLong	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012837C4	0081	CCreatureAction_BalverineCorneredJumpIntoSky	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128390C	0081	CCreatureAction_BalverineDropInFromSky	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01283A54	0082	CCreatureAction_BalverineLungeAttack	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128D924	0081	CCreatureAction_BanditKingAdvance	CCreatureAction_StrafeForward, CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01281B0C	0081	CCreatureAction_BanditKingAttack	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128DA6C	0081	CCreatureAction_BanditKingBackOff	CCreatureAction_StrafeBackward, CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128180C	0070	CCreatureAction_BanditKingChangeWeapons	CCreatureActionBase, CBaseObject, CBaseClass	SI
01263BAC	0081	CCreatureAction_BanditKingGetHit	CCombatAction_GenericStrikeResponseBase, CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01295F64	0081	CCreatureAction_BanditKingLunge	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01281C54	0081	CCreatureAction_BanditKingStuck	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01281EE4	0081	CCreatureAction_BanditKingStuckGetHit	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128193C	0071	CCreatureAction_BanditKingThrowWeapons	CCreatureActionBase, CBaseObject, CBaseClass	SI
01281D9C	0081	CCreatureAction_BanditKingUnstuck	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01284664	0081	CCreatureAction_BattleChargeImpact	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012847C4	0081	CCreatureAction_BattleChargeMiss	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128490C	0081	CCreatureAction_BattleChargeTurnLeft	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01284A74	0081	CCreatureAction_BattleChargeTurnRight	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01276F54	0070	CCreatureAction_BeDazed	CCreatureActionBase, CBaseObject, CBaseClass	SI
01299734	0081	CCreatureAction_BeetleLand	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012995EC	0081	CCreatureAction_BeetleTakeOff	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127E604	0081	CCreatureAction_BeingForcePushed	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01276E24	0070	CCreatureAction_BeStunned	CCreatureActionBase, CBaseObject, CBaseClass	SI
01275F3C	0081	CCreatureAction_BlockBase	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01267104	0081	CCreatureAction_BlockBroken	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01276324	0081	CCreatureAction_BlockCounter	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01276084	0081	CCreatureAction_BlockRespond	CCreatureAction_BlockBase, CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127428C	0070	CCreatureAction_BlowHorn	CCreatureActionBase, CBaseObject, CBaseClass	SI
0128005C	0081	CCreatureAction_BodgeSideStrike	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01263A64	0081	CCreatureAction_BreakIntoMelee	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01287904	0081	CCreatureAction_BriarRoseConcentrateInto	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01280BB4	0081	CCreatureAction_BriarRoseConcentrateOutof	CCreatureAction_CastWillDrainLifeSpell, CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01294CD4	0081	CCreatureAction_BriarRoseForcePush	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01294B8C	0081	CCreatureAction_BriarRoseIntoInvulnerable	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01287A4C	0081	CCreatureAction_BriarRoseInvulnerableTeleport	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01294A2C	0081	CCreatureAction_BriarRoseShotFarInto	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012807A4	0081	CCreatureAction_BriarRoseShotFarOutof	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127C764	0081	CCreatureAction_BuildDrainLifeSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127E094	0081	CCreatureAction_BuildFireballSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127CFE4	0081	CCreatureAction_BuildGhostSwordSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127CBC4	0081	CCreatureAction_BuildHealLifeSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012844E4	0081	CCreatureAction_BuildUpBattleCharge	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127E8D4	0081	CCreatureAction_BuildUpDivineWrathSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127BF34	0081	CCreatureAction_BuildUpPhysicalShieldSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01283F94	0081	CCreatureAction_BuildUpTimeSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127EE44	0081	CCreatureAction_BuildUpUnholyPowerSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127BB24	0081	CCreatureAction_BuildUpWillEnflameSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127DC8C	0081	CCreatureAction_BuildUpWillLightningSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127D864	0081	CCreatureAction_BuildUpWillSummonSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127B674	0081	CCreatureAction_BuildWillForceSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127C4A4	0081	CCreatureAction_BuildWillTurncoatSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0129203C	0070	CCreatureAction_CallSpouseHome	CCreatureActionBase, CBaseObject, CBaseClass	SI
01284254	0081	CCreatureAction_CastAssassinRush	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128439C	0081	CCreatureAction_CastBattleCharge	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127E774	0081	CCreatureAction_CastDivineWrathSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127BDCC	0081	CCreatureAction_CastPhysicalShieldSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01284BDC	0081	CCreatureAction_CastSkillMultiArrow	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01287384	0081	CCreatureAction_CastStrengthBerserk	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128764C	0081	CCreatureAction_CastStrengthMultiStrike	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012877A4	0081	CCreatureAction_CastStrengthMultiStrikeProper	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01283E4C	0081	CCreatureAction_CastTimeSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127ECE4	0081	CCreatureAction_CastUnholyPowerSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012645EC	0081	CCreatureAction_CastWillDrainLifeSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127B9DC	0081	CCreatureAction_CastWillEnflameSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127DF4C	0081	CCreatureAction_CastWillFireballSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127B50C	0081	CCreatureAction_CastWillForceSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127CE7C	0081	CCreatureAction_CastWillGhostSwordSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127D2B4	0081	CCreatureAction_CastWillHarvestSoulSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127CA4C	0081	CCreatureAction_CastWillHealLifeSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127DB2C	0081	CCreatureAction_CastWillLightningSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127D41C	0081	CCreatureAction_CastWillRaiseDeadSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127D5BC	0081	CCreatureAction_CastWillReclaimUndeadFollower	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127D704	0081	CCreatureAction_CastWillSummonSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127C35C	0081	CCreatureAction_CastWillTurncoatSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127AF24	0081	CCreatureAction_Charge	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127B06C	0081	CCreatureAction_ChargeStrike	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012633FC	0081	CCreatureAction_CombatBoast	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012632B4	0081	CCreatureAction_CombatIdle	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128F86C	0070	CCreatureAction_Curiosity	CCreatureActionBase, CBaseObject, CBaseClass	SI
0128F624	0070	CCreatureAction_DeclarePlayerACriminal	CCreatureActionBase, CBaseObject, CBaseClass	SI
0127F9F4	0081	CCreatureAction_DiagonalStrafeBL	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127FB3C	0081	CCreatureAction_DiagonalStrafeBR	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01287FC4	0070	CCreatureAction_Die	CCreatureActionBase, CBaseObject, CBaseClass	SI
01274D0C	0070	CCreatureAction_DowseFire	CCreatureActionBase, CBaseObject, CBaseClass	SI
01294374	0081	CCreatureAction_DragonBurninateInto	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01293E54	0081	CCreatureAction_DragonFireBeamInto	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01286EE4	0081	CCreatureAction_DragonFireBeamOutOf	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01293F9C	0081	CCreatureAction_DragonFireBlastBase	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012940E4	0081	CCreatureAction_DragonFireBlastForward	CCreatureAction_DragonFireBlastBase, CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0129422C	0081	CCreatureAction_DragonFireBlastLeft	CCreatureAction_DragonFireBlastBase, CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01288544	0081	CCreatureAction_DragonFlight	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01293BC4	0081	CCreatureAction_DragonHoverInto	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01293D0C	0081	CCreatureAction_DragonHoverOutOf	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01293934	0081	CCreatureAction_DragonLand	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01293404	0081	CCreatureAction_DragonRearUpFull	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128891C	0081	CCreatureAction_DragonRearUpInto	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01288A64	0081	CCreatureAction_DragonRearUpOutOf	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128868C	0081	CCreatureAction_DragonRetreat	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012937EC	0081	CCreatureAction_DragonRoar	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128702C	0081	CCreatureAction_DragonStrafeOutOf	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012887D4	0081	CCreatureAction_DragonSwoop	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01293A7C	0081	CCreatureAction_DragonTakeOffIntoFlying	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127473C	0070	CCreatureAction_Drink	CCreatureActionBase, CBaseObject, CBaseClass	SI
012731E4	0070	CCreatureAction_DropGenericBox	CCreatureActionBase, CBaseObject, CBaseClass	SI
01271274	0070	CCreatureAction_DropWeapon	CCreatureActionBase, CBaseObject, CBaseClass	SI
012974A4	0081	CCreatureAction_DuckAndCover	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01274E2C	0070	CCreatureAction_FillBucket	CCreatureActionBase, CBaseObject, CBaseClass	SI
0127C8C4	0081	CCreatureAction_FinishDrainLifeSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127E1FC	0081	CCreatureAction_FinishFireballSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127D14C	0081	CCreatureAction_FinishGhostSwordSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127CD34	0081	CCreatureAction_FinishHealLifeSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127B87C	0081	CCreatureAction_FinishWillForceSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127C604	0081	CCreatureAction_FinishWillTurncoatSpell	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01285544	0070	CCreatureAction_FireMissileTest	CCreatureActionBase, CBaseObject, CBaseClass	SI
01285424	0070	CCreatureAction_FireMissileWeapon	CCreatureActionBase, CBaseObject, CBaseClass	SI
0128DFA4	0081	CCreatureAction_FodderIdle	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128DBB4	0082	CCreatureAction_FodderPrimaryAttack	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128DE54	0082	CCreatureAction_FodderSecondaryAttack	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128DD04	0082	CCreatureAction_FodderUnblockablePrimaryAttack	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012783D4	0081	CCreatureAction_ForcePushInto	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01286874	0081	CCreatureAction_ForcePushOutOf	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01277A14	0081	CCreatureAction_GeneralInterruptedAttack	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127F614	0081	CCreatureAction_GenericAimProjectileWeapon	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127F384	0081	CCreatureAction_GenericFireProjectileWeapon	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127F75C	0081	CCreatureAction_GenericLeaderCommand	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127F4CC	0081	CCreatureAction_GenericLoadProjectileWeapon	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012637D4	0081	CCreatureAction_GenericStrafeLeft	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0126391C	0081	CCreatureAction_GenericStrafeRight	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01291BFC	0070	CCreatureAction_GetInBed	CCreatureActionBase, CBaseObject, CBaseClass	SI
01292BC4	0070	CCreatureAction_GetItemOutOfPocket	CCreatureActionBase, CBaseObject, CBaseClass	SI
01276B0C	0070	CCreatureAction_GetOutOfBed	CCreatureActionBase, CBaseObject, CBaseClass	SI
01276C2C	0081	CCreatureAction_GetUpFromSitting	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0125919C	0070	CCreatureAction_GiveItemToThing	CCreatureActionBase, CBaseObject, CBaseClass	SI
0127139C	0070	CCreatureAction_GiveMoneyToThing	CCreatureActionBase, CBaseObject, CBaseClass	SI
0127A894	0081	CCreatureAction_GoUnderground	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127519C	0070	CCreatureAction_Hammer	CCreatureActionBase, CBaseObject, CBaseClass	SI
0126B9D4	0070	CCreatureAction_HeroLoadRangedWeapon	CCreatureActionBase, CBaseObject, CBaseClass	SI
0128206C	0081	CCreatureAction_HobbeLungeAttack	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01263CF4	0081	CCreatureAction_HobbeSpellcasterAim	CCreatureAction_GenericAimProjectileWeapon, CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01263E3C	0081	CCreatureAction_HobbeSpellcasterFire	CCreatureAction_GenericFireProjectileWeapon, CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0129620C	0081	CCreatureAction_IceTrollIcicleAssaultInto	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012860A4	0081	CCreatureAction_IceTrollIcicleAssaultLoop	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012861EC	0081	CCreatureAction_IceTrollIcicleAssaultOutOf	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012960C4	0081	CCreatureAction_IceTrollIcicleAttack	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01262C4C	0081	CCreatureAction_InterruptableFarAttack	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01262EDC	0081	CCreatureAction_InterruptableMidAttack	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012778CC	0081	CCreatureAction_InterruptableMidAttackAutoTurn	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01262D94	0081	CCreatureAction_InterruptableNearAttack	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01297DFC	0081	CCreatureAction_JackDeathInto	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012980A4	0081	CCreatureAction_JackFall	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01297744	0081	CCreatureAction_JackFlash	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01297F54	0082	CCreatureAction_JackFloatUp	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128039C	0081	CCreatureAction_JackGetUp	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01280A44	0082	CCreatureAction_JackOfBladesUnblockableMidAttackNoBlend	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01297CB4	0081	CCreatureAction_JackScream	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01297B4C	0081	CCreatureAction_JackShotFar	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012978A4	0081	CCreatureAction_JackShotFloat	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012979EC	0081	CCreatureAction_JackShotNear	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0129888C	0081	CCreatureAction_JumpOutFromCover	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0129215C	0070	CCreatureAction_KickCreature	CCreatureActionBase, CBaseObject, CBaseClass	SI
01263024	0081	CCreatureAction_LeapBack	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127A9EC	0082	CCreatureAction_LeapLong	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127461C	0070	CCreatureAction_LearnExpression	CCreatureActionBase, CBaseObject, CBaseClass	SI
01270FBC	0070	CCreatureAction_LookThroughWindow	CCreatureActionBase, CBaseObject, CBaseClass	SI
0129935C	0070	CCreatureAction_MagicBlast	CCreatureActionBase, CBaseObject, CBaseClass	SI
0128EFD4	0081	CCreatureAction_MidAttack360	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0128EE8C	0081	CCreatureAction_MidAttackFacing	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0126316C	0081	CCreatureAction_MidAttackKnockdown	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
0127AB3C	0081	CCreatureAction_MidAttackSide	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
01263F84	0081	CCreatureAction_NymphGetHit	CCombatAction_GenericStrikeResponseBase, CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012640CC	0081	CCreatureAction_NymphGetHitDie	CCombatAction_GenericStrikeResponseBase, CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012825FC	0081	CCreatureAction_NymphIdleAfterShot	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
012824B4	0081	CCreatureAction_NymphShot	CCombatActionBase, CCreatureActionBase, CBaseObject, CBaseClass	SI
